Review,Predicted Label
useless extremely expensive poor content,Application-Worst 
does not play most of the contents. need to uninstall and reinstall to get it working.,Channels-Quality
Full of bugs,Application-Disconnection
episodes are not in sequence and are not updated regularly,Channels-Quality
bahut bekar experience Hai Har Waqt leg aur Bagh Hota rahata Hai content jaldi load Nahin Hota.,Application-Disconnection
waste of money,Application-Disconnection
app doesn't play movies on tv,Packages-Paying without service
fraud ap i pay 149rs but not subscribe no refund no help. govt should banned airtel from india we have to protest against airtel,Packages-Paying without service
Not working outside of India.,Application-Disconnection
worst experience ever,Application-Worst
Live tv channel so cheap,Application-Worst
Live tv not sufficient or ad dislike,Application-Worst
Amezing Application,Application-Nice
Super,Application-Nice
Awesome,Application-Nice
Nice,Application-Nice
Pls increase the number of otts...,Channels-Channel Navigation
Consumes too much data and video quality is awful. It consumed 1 GB data for 10 mins streaming.,Packages-Paying without service
Need to upgrade,Channels-Quality
Good,Application-Nice
Thik hai,Application-Nice
One of the worst apps never works. I am planning to get rid of airtel in my next recharge.,Application-Disconnection
Nice app,Application-Nice
Fantastic app,Application-Nice
Good,Application-Nice
Very good app,Application-Nice
Good app,Application-Nice
Please add zee5 and hotstar also App work smoothly on mobile and fire tv stick,Channels-Channel Navigation
Nice,Application-Nice
Video will not continued when it will stopped due to network issue.,Channels-Quality
Super .......,Application-Nice
Good,Application-Nice
Not working app no open app,Application-Worst
"Monthly recharge make low... Don't give like this worthless OTT. Give us Amazon prime Netflix and 15 days free, unused internet within night hours.",Application-Disconnection
Good,Application-Nice
Awesome,Application-Nice
Best,Application-Nice
Airtel ke age sab fail super se bhi upper,Application-Disconnection
Worst and worst app ever This one doesn't do anything on it Neither it plays live nor the videos that have been kept play. Note Don't waste your time in downloading this application.,Application-Disconnection
Good,Application-Nice
Ok,Application-Nice
Nothing is free here,Packages-Paying without service
"Enjoyed watching, excellent experience",Channels-Quality
Nice,Application-Nice
Lots of bugs,Application-Disconnection
Wifi connect nhi hota hai big problem Airtel fiber,Channels-Quality
V Good,Application-Nice
Amazing,Application-Nice
Very nice,Application-Nice
If there is no option in this app to watch the channel directly. I don't need this app and uninstall it.,Channels-Channel Navigation
Go od service,Application-Nice
Good aap,Application-Nice
Very good,Application-Nice
Good,Application-Nice
Airtel,Application-Nice
"Wow just wow......i uninstalled this app some days back as zee catch-ups were not available....thought of checking once today-thinking u might have improved....After installing the app today, i am seeing that zee channels are also gone !!!....If i check the app description today, ""watch zee live channels"" is still there... STOP fooling the customers....u deserve a negative rating now...",Application-Disconnection
Nice,Application-Nice
Nice,Application-Nice
Nice,Application-Nice
Excellent service!!,Application-Nice
Very very bad tv,Application-Worst
Video Not playing properly some basic stuff please fix the bugs,Customer care-Poor Responsiveness
PATHETIC VEDIO QUALITY WHILE STREAMING,Channels-Quality
Good,Application-Nice
Nice,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
Cheater you guys are telling to buy your all in one subscription but you are not providing all the content which is there is the app. Sony LIV content is also half. Iske aacha toh jio hai jio pe switch Karo sab log,Customer care-Poor Responsiveness
Z tv missing,Channels-Quality
Very Good,Application-Nice
Why live tv is not coming we need zee kannada chanale,Channels-Channel Navigation
Good,Application-Nice
Awesome,Application-Nice
Brilliant,Application-Nice
Very nice,Application-Nice
Worst Application ever it's been stuck,Customer care-Poor Responsiveness
Very nice,Application-Nice
Nice and perfect tv channel I imperesd for airtel xstream,Application-Nice
Good,Application-Nice
Worst experience worst app everytime it's getting paused,Channels-Quality
Nice live tv app,Application-Nice
"Huge scam,giving free register for whole daily data ,m just watching 110minutes film which cost almost more than 1gb in medium quality,what a garbage service,I knew it so I try n I got it,never wanna give in free of cost always have to pay , N one more important think Airtel daily data limit charge more than daily mobile data limit bar,what a scam,",Packages-Paying without service
No live TV channels. Disaster!!,Channels-Quality
Best app,Application-Nice
Waste,Customer care-Poor Responsiveness
"NO #1 AMONG ""Worst App"". In the era of 9.1 Dolby Atmos Audio, this app has only MONO Audio! Video quality is also very POOR. AIRTEL, JUST GROW UP!",Customer care-Poor Responsiveness
Good,Application-Nice
"I am unable to play the videos in this app. After subscription, if this happens what should one do. If the person who owns this app is here, I would have slapped him in the face asked him to sit at home. Because clearly they have no idea why they have created it. Airtel Xstream sucks. Stop being in digital platform area. Clearly you have no sense of understanding the viewers mindset. It's better to sit home idle than false promises that you make through this platform.",Customer care-Poor Responsiveness
Super,Application-Nice
Good,Application-Nice
Very well..so good content,Application-Nice
I have found a bug. It is irritating. Video freezes again and again in this app. Please fix it.,Customer care-Query Resolution
This one is the worst app ever.,Customer care-Poor Responsiveness
Good,Application-Nice
Pathetic..not even able to see a single channel for free..then what is the purpose of using Airtel network...for this same amount of money jio is offering free live channels to watch and enjoy...so Airtel might reconsider to offer more live channels for their customers to watch their favourite channels just for free..,Packages-Paying without service
Good,Application-Nice
Good,Application-Nice
Jio sim jo tv free please airtel airtel tv ko free krdo,Customer care-Query Resolution
Very good app,Application-Nice
Superb,Application-Nice
On this platform you can not watch live streaming in best quality although internet connection is good,Channels-Quality
Good to use,Application-Nice
Super,Application-Nice
Good,Application-Nice
Where is zee in live they remove many other entertainment channel.worst app,Customer care-Poor Responsiveness
"One of the worst apps ever. Frozen screen frames after every 5 seconds. On using the return button, video is stopped and moves to menu page. Really irritating experience",Customer care-Poor Responsiveness
Great and thanks,Application-Nice
Nice,Application-Nice
Till going good,Application-Nice
Great,Application-Nice
So far good,Application-Nice
Good,Application-Nice
Bahut bura,Application-Worst
Bore...,Application-Worst
Hi Airtel please solve playback screen Problem navigation bar not show big problem this upade version 1.63.1 please solve problem earliest thank you team airtel,Customer care-Query Resolution
Airtel deserves negative rating FOR DELETING Zee LIVE TV.,Application-Worst
nothing is free fake application jio is better airtel xstream,Packages-Paying without service
Bakwas,Application-Worst
Waste,Application-Worst
Nice,Application-Nice
hindi apps are there only some of them has other languages,Channels-Channel Navigation
Good,Application-Nice
Nice awesome,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
Hlo Airtel Xtreme team I have buyed 75 rs plan in Airtel Xtreme for zee channels but my money has debited and still i am not able to see Zee channels please kindly see into it So how I can cancel my subscription i have lost my 75rs,Packages-Paying without service
Good,Application-Nice
Third class,Application-Worst
Suppar,Application-Nice
Excellent,Application-Nice
Super cool and then I can you mining in the rest is what it tomorrow and then,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
Good,Application-Nice
I like this app,Application-Nice
Worst experience,Application-Worst
Awesome app,Application-Nice
"Back option annoyed the full display experience,remove it for the better experience,otherwise app content is good",Customer care-Poor Responsiveness
Awesome,Application-Nice
Great experience,Application-Nice
Whenever i try to watch an episode of jehanabad the video gets paused automatically whereas audio is still running in th background. The sceen gets blurred. I have paid for this service. Please fix this issue immediately. Pathetic experience,Application-Worst
Worst application not working properly it needs very high internet speed and after that it buffers like the old time CD players video stuck at a point and audio goes forward. I'm irritated with this subscription just kept my money in fire,Application-Worst
it was good but after update this is worse. after paying for subscription still ads coming,Channels-Quality
Best,Application-Nice
Nice,Application-Nice
Please upload latest movies and shows,Customer care-Query Resolution
Waste of money,Application-Worst
Good,Application-Nice
Good,Application-Nice
Very nice,Application-Nice
Superb app. Should consider adding Other platforms like Prime or Netflix,Application-Nice
Very nice,Application-Nice
Video quality con't change when we play High quality it's not adjusting playing poor quality remaining all ok,Channels-Quality
Good channels,Channels-Quality
