,Review,Predicted Label
300,"No use, live tv channels removed. Only Sony available but there's sonyliv so no use being a sonyliv subscriber. Uninstalling.",Channels-Quality
301,Zeesarthak,Application-Nice
302,Bes of application,Application-Nice
303,I think app is hungry already cut all serial channel from the app,Application-Nice
304,Good,Application-Nice
305,Upendra panda774,Application-Nice
306,Very good,Application-Nice
307,I want to give it no stars but the show I use to watch like Zee tv was not there from the latest version I use to watch it every day but now I am soooo angry 😡😡😡😡😡 after this I will delete this app if the channel did not come back I not satisfied with this😡😡 any of the chanell like Zee cinema Zee anmol etc.. are there. At the picture in playstore there is Zee tv HD and others which is not in this app from the latest version the old version was more good there was more channels,Channels-Quality
308,UI is the most disappointing part. Especially on the set top box.,Channels-Quality
309,Such a sneaky way to add the paid version of premium without giving any option to cancel the service after trial.,Application-Worst
310,Fantastic app and it is free with airtel pack,Application-Nice
311,Bakwas app,Application-Worst
312,Bugs & Bugs nothing else everytime I play a video it says aw! Snap something went wrong And the screen keeps loading. Anything I play in the app it's keep loading on and on,Channels-Quality
313,Worst experience ever. All the time app is buffering.,Application-Worst
314,"Very good app for streaming various ott app like hoichoi, sony liv, eros now, lionsgate play and various app.",Application-Nice
315,Very super app,Application-Nice
316,Nice app,Application-Nice
317,Indias sabse bakwasssss service Airtel,Application-Nice
318,Vey good,Application-Nice
319,Cool,Application-Nice
320,Akshay,Application-Nice
321,"Gives a lot of problems with playing the episode you want to play, I would try to play a different episode but it would keep playing some other. Also the video quality keeps fluctuating into really bad one.",Customer care-Poor Responsiveness
322,Super,Application-Nice
323,Good,Application-Nice
324,Ok,Application-Nice
325,Contents arrive one or even two days late than on the original channel. My 149 rupees have gone to waste. Total waste of an app. Navigation is also sluggish. Not at all worth it.,Application-Worst
326,good,Application-Nice
327,Great,Application-Nice
328,Zee telugu channel is not coming in it very wrost,Channels-Quality
329,Good TV,Application-Nice
330,🙄Not interest for use airtel Xstream app.why means.Removed the live tv channels n zee network is not available in xsteam app.But you give some updates in application and then after few days removed other network channels .Example who buy the dth connection allowed that customers only with existing pack channels.Ex: Tata sky give the best features in application live tv channels in based on existing pack channels to customer.Good bye airtel xstream app....🤨,Channels-Quality
331,It is possible to cast the video to tv?,Channels-Quality
332,I'm not able to download any movie,Application-Worst
333,Poor quality development. Logs out automatically every now and then. Messes up the usability.,Channels-Quality
334,Nice app,Application-Nice
335,Very nice,Application-Nice
336,Please add download options,Customer care-Query Resolution
337,"Video quality remains same at low for any option, high, low or auto. Such low quality that it is not watchable on phone also.",Channels-Quality
338,Bad experience.... Every time buffer...,Application-Worst
339,Hamare yaha Tawer hi nahi milte hai to install keyo kare ?,Application-Worst
340,After last update app is working fine. But still loading slowly than other streaming apps.,Channels-Quality
341,No. Zee Kannsda,Channels-Quality
342,Excellent experience as of now. Hope it may be continued. Download and enjoy your favourite stream. Thanks Airtel. Keep it up 👍👍👍,Channels-Quality
343,Exerllan app,Application-Nice
344,Good,Application-Nice
345,This app Is Not Working . Mobile Automatically Stop And App Not Working,Application-Worst
346,Since 20th February I can't watch zee bangla hd.,Channels-Channel Navigation
347,Waoo,Application-Nice
348,Nahi chal raha hai live tv,Channels-Quality
349,Best one,Application-Nice
350,Airtel zindabad,Application-Nice
351,Ok,Application-Nice
352,Please,Application-Nice
353,Great app,Application-Nice
354,Wonderful,Application-Nice
355,Aminulhoque,Application-Nice
356,Good App,Application-Nice
357,Please add zee Marathi live Channel s and other entertainment channels,Channels-Channel Navigation
358,Please add zee tv,Application-Worst
359,Zee TV issue,Application-Worst
360,Very nice,Application-Nice
361,I'm not able to open app,Application-Worst
362,excellent.,Application-Nice
363,i want zee tamil serail,Application-Worst
364,Bad,Application-Worst
365,It's a good experience. But if there is a facility of downloading the video it would be great.,Channels-Quality
366,Not good it is not showing all the entartainment channels like Zee telugu,Channels-Quality
367,Amazing,Application-Nice
368,Bast app,Application-Nice
369,M. C. He yeh,Application-Nice
370,Nice,Application-Nice
371,Zee channels from Live TV has disappeared since yesterday. Please look into it.,Channels-Channel Navigation
372,Good,Application-Nice
373,first you removed colours channel and now you also removed zee tv channel from live tv also why why and why?,Channels-Channel Navigation
374,Good,Application-Nice
375,Goood,Application-Nice
376,Good,Application-Nice
377,Can't find the required content,Channels-Channel Navigation
378,Not working,Application-Worst
379,Best!!,Application-Nice
380,Sandar,Application-Nice
381,Good👍,Application-Nice
382,Super app,Application-Nice
383,Some more entertainment is required please,Application-Nice
384,Even I recharged a pack which has subscription for this ..still it's showing to pay money againa,Packages-Paying without service
385,Amazing,Application-Nice
386,Very nice app,Application-Nice
387,Good,Application-Nice
388,Excellent,Application-Nice
389,Barbar live channels chale jate hai abhi zee ke channel 2 din se nahi dikh rahe please continue the services Or hamesha ke liye band kijiye to other app dekhenge barbar services change hoti rahti hai pls don't do this,Channels-Quality
390,Good,Application-Nice
391,Bad app,Application-Worst
392,"AGAIN YOU HAVE REMOVED ZEE CHANNELS Why you have removed the live TV option, people like us who are mostly traveling used to watch TV while on the go. Kindly look into it and restore the same as most of the viewers are complaining for the same.",Channels-Quality
393,Goodb,Application-Nice
394,nice,Application-Nice
395,Nice,Application-Nice
396,Good,Application-Nice
397,We want pay all otts,Application-Worst
398,I like old version of this app I updated new and I lost mostly live channel that's why I giving 1 star only ......ok thanks then I will remove it uninstall it bcoz it's waste for me without that feature,Application-Worst
399,Zee bangla HD Chanel are not available,Channels-Quality
400,Quality not good but working better,Channels-Quality
401,Good,Application-Nice
402,Great app,Application-Nice
403,"Worse experience with your service. I already recharged my plan in advance, still this app not working on date 20 of every month. I have complaint too many times. But still the same. I wish playstore will add negative star rating in feed. This is not recharge related issue. This is your app subscription issue.....",Application-Worst
404,Zee TV channel please,Customer care-Query Resolution
405,Nice 👍👍,Application-Nice
406,Superb service,Application-Nice
407,Everything is good,Application-Nice
408,Waste of time,Application-Worst
409,Excellent,Application-Nice
410,Good for anyone,Application-Nice
411,It's awesome application,Application-Nice
412,Nice,Application-Nice
413,Good access,Application-Nice
414,Good,Application-Nice
415,The app keeps on restarting in middle.,Channels-Quality
416,Very good,Application-Nice
417,14 3 1991 13 4 1995,Application-Nice
418,Good app,Application-Nice
419,Worst app not skip properly,Application-Worst
420,I love this app because I enjoy it a lot,Application-Nice
421,Good,Application-Nice
422,Why You Remove & TV Channel,Customer care-Query Resolution
423,Superb,Application-Nice
424,Facing problems with TV shows.,Application-Nice
425,Xtreme ly bekar....,Application-Nice
426,Nice👍👍👍,Application-Nice
427,Wherygood,Application-Nice
428,Zee sarthak nehi ara hai,Channels-Quality
429,খুব খুব ভালো...,Application-Nice
430,Good bad,Application-Nice
431,Very bad,Application-Nice
432,plz recusted you kundali bhagya serioul give me,Application-Nice
433,Truly enjoyed,Application-Nice
434,Nice,Application-Nice
435,The best sarvis,Application-Nice
436,Keeps on crashing lots of bugs pathetic experience,Channels-Quality
437,Hi Wtc,Application-Nice
438,Where is the live tv channels? Worst app I hade this app i don't like it Airtel xstream app is very very bad do not install this app please,Application-Worst
439,Nee tamil live tv,Application-Worst
440,Best,Application-Nice
441,Bad app,Application-Worst
442,Suparrrrrr,Application-Nice
443,Surper nice please add sons of anarchy to it.,Application-Nice
444,Kumkum kumari,Application-Nice
445,Very nice to Airtel xstream,Application-Nice
446,Excellent,Application-Nice
447,Osem experience,Application-Nice
448,Very good app,Application-Nice
449,Nice app,Application-Nice
450,I is good app,Application-Nice
451,Nice collection of movies and series. I like the picture quality. Most impressed things is all the available content is in best possible quality.,Channels-Quality
452,Zee TV is not working 😡😡😡,Channels-Quality
453,Zeetamil,Application-Nice
454,The video screen does not cast on smart tv,Channels-Quality
455,😁,Application-Nice
456,Good,Application-Nice
457,But live channel not open,Application-Worst
458,Cartoon ceneel nahi hai,Application-Nice
459,nice app for shows,Application-Nice
460,Super,Application-Nice
461,!hattamam,Application-Nice
462,Not good,Application-Nice
463,Wow,Application-Nice
464,Kick,Application-Nice
465,Worst app...i want old Airtel TV this app is worst app,Application-Worst
466,I am not able to see live channels of zee bangla on the app. Please help.,Channels-Quality
467,No download option available...also poor interface,Channels-Quality
468,Nice,Application-Nice
469,Good service 👍,Application-Nice
470,Z bangla alny prblm,Application-Nice
471,Z ee bangla not can but any prolm,Channels-Quality
472,mast app chho ho,Application-Nice
473,Airtel Xtream💯👌👌👌💕,Application-Nice
474,Exlent,Application-Nice
475,Hh,Application-Nice
476,Very good experience to watch content in this app,Application-Nice
477,Non stop watching in good video quality,Channels-Quality
478,Erfft,Application-Nice
479,Only download free 😂 download mat kor na,Customer care-Query Resolution
480,Worst experience,Application-Worst
481,Fraud! All Airtel does is scams! Worst company ever!,Channels-Quality
482,Very bad,Application-Nice
483,Nice,Application-Nice
484,Good,Application-Nice
485,Nice,Application-Nice
486,Good,Application-Nice
487,Not work properly,Application-Worst
488,Very nice,Application-Nice
489,Smooth and lag free streaming.,Application-Nice
490,Why we download this for live channel but after some time channel of live section gone what wrong was that therefore i give one star,Application-Worst
491,Ji Fariya kevadiya,Application-Nice
492,Very good experience and I enjoy a lot,Application-Nice
493,Mind blowing,Application-Nice
494,Fusssaaaaddddd.,Application-Nice
495,Awesome,Application-Nice
496,Good App,Application-Nice
497,Good,Application-Nice
498,Kannada channels not show😩,Channels-Quality
499,"What kind of service are you guys providing with no option to download??? So, pathetic in that sense.",Channels-Quality
500,Good but in smart TV I have to find live tv. Please make smart TV app like phone where we can find live tv in one separate place. Thanks,Application-Worst
501,Awesome,Application-Nice
502,Nice app to watch free webseries and movies.,Application-Nice
503,Quality good 👍,Application-Nice
