Review,Sub-label,Label
exploring some good content,Nice,Application
Your replies are mechanical. Please try to understand problems faced by viewers after introduction of Binge. Your earlier system was simple and user friendly. If we do not get positive response perhaps better option will be to quit Tataplay.,Poor Responsiveness,Customer care
Zee 5 content is not playing,Channel Navigation,Channels
Good,Nice,Application
Trash app. Always freezes when streaming. Have to restart phone everytime. I use Redmi Note 9 and all apps are performing well except this one.,Disconnection,Application
Download option not available please insert,Channel Navigation,Channels
Wrost app,Worst,Application
Good,Nice,Application
"I have subscribed 199 packs for my Android TV. But the problem is you have restricted zee5 and Sony LIV free live tv and paid tv channel as well . It is very irritating, also is it justified to do that? We are paying for this but you are not providing all the benifits. I have decided to discontinue the subscription for next month.",Price,Packages
not playing for all ott platform,Paying without service,Packages
Best,Nice,Application
App seems fine.Just installed and use it and observed on Sony liv that video is not rotating.please fix this bug.,Confusion,Channels
"Hard to operate, can't even find reasonably mixed package.",Price,Packages
"1) After updating the app, the mobile hangs repeatedly while watching the program. 2) screen turns off while watching live soprts in sony liv.",Disconnection,Application
Fixed my problem,Query Resolution,Customer care
ok,Nice,Application
TATA play Bing app per give live tv option for next update,Number of Channels,Channels
Loading loading not good,Worst,Application
I am unable to clear my watch history,Confusion,Channels
Best experience,Nice,Application
more ott app we want,Number of Channels,Channels
Very nice,Nice,Application
"please launch for tv and give update for lock screen, click to next episode, skip intro",Channel Navigation,Channels
Better service. I am highly satisfied,Query Resolution,Customer care
Good and all in one app for OTT lovers Pls enable option for customize to select the ott subscriptions,Channel Navigation,Channels
Great Experience,Nice,Application
good,Nice,Application
Very very worst app I never seen before worst network worst service ,Worst,Application
Zeetelugu serials not comeig,Number of Channels,Channels
Veryone apps in tata play,Nice,Application
I subcribed with 99 but unable browse.. The respective ott. Such a scam...,Paying without service,Packages
Worst app . Zee 5 any time error . Fraud app not to subscribe and pay the charges,Worst,Application
Worst Experience.. Imade a confirmation only tata binge pack but they debited 179 Rupees automatically from my account for Amazon prime which is not demanded or confirmed by me .. it is unfair trade practice punishable offence .. REGARDS M.K.GUPTA SR.ADVOCATE MORADABAD,Price,Packages
superb,Nice,Application
App Could do better but happy that team responded me within an hour and now I can play those ott still some problem but hopefully app will do better with passage of time.,Query Resolution,Customer care
Bakwas,Worst,Application
good,Nice,Application
When the worst OTT platform I'm using.... I suggest to every one don't use binge ott I tried since last 2 months to find goods things but nothing in it,Worst,Application
Worst ever experience. Don't buy any of the subscription.,Worst,Application
Very Very very Very very Very very Very very Very very Very very bad .,Worst,Application
"Horrible experience, app is not even opening even after reinstalling",Worst,Application
good,Nice,Application
Mindst App is future of Digital Tv at this level now to no need for DTH.....But One thing is Please Add Prime and Netflix Also in OTT Plans Best for Android. Tata Binge ðŸ‘,Number of Channels,Channels
Super app,Nice,Application
